FIPS,clase,incidencia_edad,confianza_inferior,confianza_superior,recuento_anual,tendencia_reciente_incidencia,intervalo_inferior,intervalo_superior
44007,estable,72.7,69.8,75.7,503,0.1,-5.4,5.9
44009,estable,64.8,59.2,70.7,104,-1.5,-10.9,8.9
45001,creciente,68.1,56.2,82,24,5,0.5,9.8
45003,decendiente,58.5,53.9,63.5,122,-5.7,-10.3,-0.9
45005,estable,61.7,43.6,85.3,8,11,-21.7,57.3
45007,estable,69.6,64.8,74.5,166,-3.6,-13.2,7.1
45009,estable,59,45.3,76,13,5,-21.1,39.7
45011,estable,59.5,46.8,74.8,15,-3.8,-26.2,25.3
45013,estable,49,45.1,53.3,124,1.2,-11.3,15.4
45015,estable,84.8,78.4,91.6,142,-2.4,-9.7,5.5
45017,estable,59.7,45.4,77.4,12,22.5,-8.7,64.3
45019,estable,65.5,61.9,69.3,257,-4.4,-10.2,1.8
45021,estable,87.7,77.6,98.8,56,4.5,-10.8,22.4
45023,estable,77.4,65.7,90.6,32,-1,-10.5,9.6
45025,estable,81.2,70.7,93,45,-6.1,-27.1,21
45027,estable,70,59.7,81.8,35,15.7,-1.1,35.3
45029,estable,93.5,81.8,106.6,48,-3.9,-15.6,9.4
45031,estable,72.4,64.4,81.2,62,-0.5,-9.3,9
45033,estable,85.5,72.6,100.2,32,5.6,-10,23.9
45035,estable,70.6,63.9,77.7,89,0.2,-4.8,5.5
45037,decendiente,58.5,46.6,72.6,18,-15.3,-26.8,-2
45039,estable,57.9,46.4,71.6,18,-2.2,-27.5,31.8
45041,estable,72.8,66.9,79.2,115,5.2,-0.1,10.7
45043,decendiente,59.2,52.2,66.9,57,-16.5,-27.8,-3.5
45045,estable,64.6,61.5,67.9,324,-3,-6.5,0.7
45047,estable,63.2,55.8,71.3,54,0.7,-5.5,7.3
45049,estable,78.1,63.3,95.6,20,2.9,-9.4,16.8
45051,decendiente,74.7,70.8,78.9,286,-4.2,-6.8,-1.5
45053,estable,51.9,40.2,66,14,3.6,-31.4,56.5
45055,estable,73.6,65.1,82.9,57,-4.5,-18.6,11.9
45057,estable,67.5,60.3,75.3,68,-3.1,-13.6,8.6
45059,estable,80.2,71.7,89.5,67,-2.3,-11,7.1
45061,estable,73,58,90.9,17,-13.1,-34.3,15
45063,estable,68.5,64.2,73.1,196,-6.7,-13,0.2
45065,estable,67.4,51.6,88.4,13,8.8,-21.3,50.6
45067,estable,79.3,67.3,93,33,0,-18.6,22.8
45069,estable,87.2,73.2,103.3,29,8,-21.8,49.3
45071,estable,58.5,49.2,69.2,29,-5,-29.6,28.3
45073,estable,68.8,61.9,76.5,75,-6.1,-18.6,8.4
45075,estable,63.3,56.8,70.4,71,-1.7,-6,2.8
45077,estable,74,67.5,80.9,99,-0.9,-13.4,13.4
45079,estable,70.1,66.1,74.2,242,-2.8,-10.8,6
45081,estable,55.1,42.9,70.1,14,-5.2,-12.3,2.4
45083,estable,73.1,69,77.5,241,-2.4,-11.9,8.2
45085,estable,72,65.2,79.3,84,-0.8,-11.4,11.2
45087,estable,94.2,80.8,109.3,36,-5.2,-11,1
45089,creciente,66.3,55.8,78.4,29,5.9,0.8,11.4
45091,estable,66.8,62.1,71.8,157,-5,-12.7,3.5
46003,desconocido,96,57.2,154.8,4,0,0,0
46005,estable,48.6,36.8,63.3,12,2.4,-31.1,52.2
46007,desconocido,0,0,0,0,0,0,0
46009,estable,55.7,36.6,82.4,6,-24.1,-46.9,8.6
46011,estable,53.5,41.4,67.8,14,7.6,-32.9,72.5
46013,estable,57.5,48.1,68.3,27,5.6,-18.8,37.2
46015,estable,83,55.5,120.7,6,-9.9,-35.3,25.5
46017,desconocido,0,0,0,0,0,0,0
46019,estable,60.8,43.8,83,9,-12.4,-41.8,31.8
46021,desconocido,0,0,0,0,0,0,0
46023,estable,48.9,32.6,71.1,6,4.3,-23,41.3
46025,desconocido,0,0,0,0,0,0,0
46027,estable,61.4,42.5,85.8,7,9.3,-18.5,46.5
46029,estable,49.4,39.1,61.7,16,5,-21.8,41
46031,desconocido,0,0,0,0,0,0,0
46033,estable,38.6,25.3,58.7,6,-0.1,-40,66.2
46035,estable,64.2,51,80.2,17,0.9,-24,34
46037,estable,45,27.9,71.4,4,-11.5,-41.9,34.9
46039,desconocido,48,27.2,81.4,3,0,0,0
46041,desconocido,82.2,47.7,130.8,3,0,0,0
46043,estable,81.9,47.7,135.3,4,8.5,-50.1,136.1
46045,desconocido,0,0,0,0,0,0,0
46047,decendiente,63.6,45.5,89.1,8,-11.7,-19.5,-3.2
46049,desconocido,0,0,0,0,0,0,0
46051,estable,55.1,36.4,81.4,6,10.8,-22.2,57.7
46053,estable,75.8,47.9,117,5,-2.2,-39.4,57.9
46055,desconocido,0,0,0,0,0,0,0
46057,desconocido,47.8,27.2,78.3,3,0,0,0
46059,desconocido,0,0,0,0,0,0,0
46061,desconocido,0,0,0,0,0,0,0
46063,desconocido,0,0,0,0,0,0,0
46065,estable,52.1,38.6,68.9,10,-7.1,-21.3,9.7
46067,estable,41.9,26.9,64.1,5,-11.5,-35.2,20.7
46069,desconocido,0,0,0,0,0,0,0
46071,desconocido,0,0,0,0,0,0,0
46073,desconocido,0,0,0,0,0,0,0
46075,desconocido,0,0,0,0,0,0,0
46077,estable,62.6,41.2,94.1,6,2.3,-30.9,51.5
46079,estable,46,32.2,64.6,7,9.7,-26.4,63.6
46081,estable,47.8,37.5,60.3,15,3.1,-20.1,33.1
46083,estable,48.9,39,60.5,18,-2.5,-9.6,5.2
46085,desconocido,0,0,0,0,0,0,0
46087,desconocido,86,59.7,121.5,7,0,0,0
46089,desconocido,0,0,0,0,0,0,0
46091,estable,53.7,31.1,88.1,4,-28.4,-60,28.3
46093,estable,56.4,44.3,70.8,15,-1.4,-10.4,8.5
46095,desconocido,0,0,0,0,0,0,0
46097,estable,88.3,51.1,148.6,4,28.4,-19.6,105.1
46099,estable,65.3,59.8,71.1,110,5.8,-3.5,16
46101,estable,44.2,26.1,71.2,4,20.4,-51,195.9
46103,estable,66.1,59.6,73.2,78,-6.3,-21,11.1
46105,desconocido,0,0,0,0,0,0,0
46107,estable,89,54.2,147.4,4,-1.6,-27.7,34
46109,estable,46.4,31.6,66.4,6,-20.7,-50.8,27.9
46111,desconocido,0,0,0,0,0,0,0
46113,estable,59.9,37.1,90.4,5,11.4,-30.9,79.7
46115,estable,48.8,30.9,74.9,5,-9.3,-53.6,77
46117,desconocido,0,0,0,0,0,0,0
46119,desconocido,0,0,0,0,0,0,0
46121,desconocido,0,0,0,0,0,0,0
46123,estable,42.6,24.5,70.8,4,7.5,-39.2,89.8
46125,estable,56.2,38.2,80.6,6,-9.5,-57.1,91
46127,estable,80.2,62.1,102.2,14,-1.4,-32.3,43.5
46129,estable,47,29.5,73.8,5,8.8,-31.8,73.6
46135,decendiente,61.4,49.2,76.1,18,-8.5,-15,-1.5
46137,desconocido,0,0,0,0,0,0,0
47001,estable,71.1,63.9,78.8,75,-5.5,-13.6,3.4
47003,estable,69.4,59.4,80.6,35,-3.8,-29.5,31.3
47005,estable,104.7,87.1,125.2,26,4.8,-13.9,27.6
47007,estable,85.2,66.3,108.4,15,2.1,-15.4,23.1
47009,estable,79,72.9,85.4,130,-3.5,-10.2,3.7
47011,estable,81,73.8,88.6,97,-0.8,-13.7,14.1
47013,estable,105.9,94,118.9,60,-0.6,-18.7,21.5
47015,estable,59.7,44.8,78.5,11,-9.1,-29.1,16.6
47017,estable,80,68,93.8,32,6.2,-25.7,51.9
47019,estable,78.3,69.7,87.7,63,1.8,-11.2,16.6
47021,estable,92.3,79,107.2,38,2.4,-12.3,19.5
47023,creciente,76.7,60.5,96.1,16,9.1,5.5,12.8
47025,estable,107.7,94,122.9,47,3.1,-5.7,12.7
47027,estable,76.1,54.9,104.1,9,4,-3.1,11.7
47029,estable,96.9,85,110.2,50,4.2,-5.1,14.5
47031,estable,84.4,74.8,95,57,-3.1,-18.7,15.3
47033,estable,64.6,49.1,83.8,12,-6.8,-20.9,9.9
47035,estable,79.8,71.7,88.7,80,-5.9,-18.7,8.9
47037,decendiente,72,68.9,75.2,424,-2,-3.4,-0.6
47039,estable,87.4,69,110,16,9,-10.5,32.7
47041,estable,91.3,74.7,110.7,22,-4.4,-25.2,22.2
47043,estable,87.9,77.2,99.8,50,0.6,-6.4,8.1
47045,estable,77.9,66.8,90.3,37,3.4,-3.6,11
47047,estable,58.7,49.6,69.3,31,-5.3,-21.7,14.5
47049,estable,92.7,76.4,112,24,-1.3,-14.5,13.8
47051,estable,70.6,61.2,81.3,41,-5.3,-10.8,0.6
47053,estable,80.5,70.9,91,52,-5.5,-21.8,14.2
47055,estable,82.1,69.9,96.1,33,-4.4,-25.3,22.4
47057,estable,82.2,68.4,98.3,26,8.8,-12.8,35.7
47059,estable,96.4,87.7,105.9,94,-3.7,-9.7,2.7
47061,estable,96.1,77.2,118.8,19,-2,-27.4,32.4
47063,estable,77.9,69.5,87.1,64,1.9,-13.5,19.9
47065,estable,68.4,64.8,72.1,286,-2.6,-12.4,8.4
47067,estable,83.1,59.9,113.8,9,7.5,-24.4,52.7
47069,estable,94.2,79.7,110.6,31,-3.7,-18.5,13.8
47071,estable,85.9,73.1,100.6,33,6,-10.3,25.3
47073,estable,102.7,92.6,113.7,79,1.5,-6.2,9.8
47075,estable,80.4,64.3,99.4,18,-7.5,-38.2,38.4
47077,estable,93.4,79.2,109.5,32,-3.9,-35.1,42.3
47079,estable,88.4,77,101.2,45,-6.4,-19.7,8.9
47081,estable,91.5,76.5,108.7,27,0.6,-10.4,12.9
47083,estable,96.8,72.9,126.9,11,-6.6,-22.2,12.1
47085,estable,99.2,82.7,118.4,26,-2.4,-24.2,25.6
47087,estable,102.8,81.8,128.4,18,-9.7,-32.1,20.1
47089,estable,68.9,60.3,78.4,49,-0.7,-18.4,21
47091,estable,88,72.4,106.4,23,17.3,-7.5,48.7
47093,decendiente,73.8,70.3,77.3,357,-3.9,-7.3,-0.3
47095,estable,96.8,69.8,131.6,9,25.4,-14.3,83.5
47097,estable,92.9,77.9,110,28,-13,-26.8,3.4
47099,estable,78.2,68,89.6,43,4.5,-8.6,19.4
47101,estable,116.1,93.6,142.9,19,1.2,-24.5,35.7
47103,estable,64.3,54.3,75.8,30,-6.8,-18.3,6.3
47105,estable,69.2,61.2,78.2,58,0.3,-18.9,24.2
47107,decendiente,81.4,72.3,91.5,59,-4.8,-7.3,-2.2
47109,estable,89.5,76.2,104.8,33,5.5,-5.7,18.2
47111,estable,100.4,83.9,119.2,27,-8.8,-22.1,6.8
47113,estable,70.7,63.8,78.2,78,-1.2,-11.6,10.5
47115,estable,102.9,88.8,118.8,40,4.6,-19.7,36.3
47117,decendiente,91.6,77.9,107.1,33,-8.4,-16,-0.1
47119,estable,73.5,65.8,81.9,69,1.3,-17.9,25
47121,estable,83.7,65.3,106.6,15,-0.3,-10,10.5
47123,estable,98.6,87.4,110.9,60,-3.5,-26.9,27.3
47125,estable,84.3,77.1,91.9,106,-0.4,-5.7,5.1
47127,estable,63.5,42.5,92.9,6,-3.1,-35.9,46.5
47129,estable,94.3,78.4,112.7,26,0.5,-7.7,9.5
47131,decendiente,72.6,61.4,85.3,31,-16.9,-27.5,-4.9
47133,estable,98.2,83.2,115.5,32,-8,-26.9,15.9
47135,estable,93.8,70.7,123.3,11,-2,-17.4,16.1
47137,estable,94.8,66.3,133.9,8,6.6,-37,80.2
47139,estable,116,97.1,137.9,28,-3.4,-28.4,30.3
47141,estable,71.6,63.8,80.2,62,4.9,-16.1,31.2
47143,estable,99,85.6,114.1,41,-4.9,-16.3,8
47145,estable,88.6,79.6,98.6,72,-6.5,-17.3,5.7
47147,estable,83.2,73.7,93.5,59,-0.6,-23.3,28.8
47149,estable,68.5,63.4,73.9,144,-1.8,-9.9,7.1
47151,estable,109.2,91.8,129,29,-0.5,-14,15.1
47153,estable,96.8,77.5,119.9,18,0.1,-16.2,19.6
47155,decendiente,83.5,76.1,91.4,99,-6.9,-10.7,-3
47157,estable,67.3,64.8,69.8,587,-0.4,-3.2,2.6
47159,estable,92.7,75.4,113,21,-3,-22.7,21.8
47161,estable,90.8,72.1,113.3,17,2.9,-23.6,38.6
47163,estable,75.7,70.7,81,174,-3.9,-13.8,7.1
47165,estable,65.9,60.6,71.5,121,-3.1,-6.6,0.5
47167,estable,94.6,83.9,106.2,60,-3.9,-13.7,7.1
47169,estable,101.4,74,136,9,2.5,-22.4,35.4
47171,estable,89.3,74.1,107.1,25,-6.5,-20.2,9.5
47173,estable,100.7,83,121.3,24,1.3,-18.9,26.5
47175,estable,55.8,34.2,87.8,4,-14.3,-49.5,45.6
47177,estable,84.7,73.5,97.3,42,-1.7,-11.5,9.3
47179,estable,71.6,65.6,77.9,110,-3.9,-8.6,1
47181,estable,79.1,63.3,98,18,-10.7,-35.4,23.4
47183,estable,72.4,61.2,85.2,31,-3,-23.3,22.8
47185,estable,89.7,76.3,105.1,33,9.7,-4.1,25.5
47187,estable,46.6,41.9,51.7,77,-4.2,-12,4.3
47189,estable,76.5,69.7,83.9,98,-5.8,-14.7,3.9
48001,estable,78.1,68.6,88.7,49,9,-0.3,19.2
48003,estable,64.3,46.9,85.9,9,-1.3,-34.9,49.5
48005,estable,76.4,68.7,84.6,74,-7.1,-20.5,8.6
48007,estable,78.1,66,92.2,33,2.6,-16.1,25.5
48009,estable,61.5,43.3,85.7,8,12.9,-12.1,45
48011,desconocido,0,0,0,0,0,0,0
48013,estable,42.4,34.6,51.5,21,-9.2,-27.4,13.5
48015,estable,48,38.4,59.5,18,-8.5,-18.8,3.2
48017,desconocido,0,0,0,0,0,0,0
48019,estable,58.8,47.4,72.7,20,-7.9,-29.2,19.6
48021,estable,69.2,60.9,78.3,54,-3.2,-11.1,5.4
48023,estable,80.4,52.4,122.2,5,-10.9,-34.7,21.5
48025,estable,50.9,39.8,64.2,15,-4,-33.8,39.4
48027,estable,81.5,76.5,86.8,200,-2.5,-5.7,0.8
48029,decendiente,45.1,43.6,46.7,702,-4.7,-8.7,-0.5
48031,estable,46.3,32.6,65,8,-10.6,-27.3,9.9
48033,desconocido,0,0,0,0,0,0,0
48035,estable,58.4,46.4,73,17,12.4,-6.9,35.6
48037,estable,80.2,72.8,88.3,88,-3.1,-10,4.4
48039,estable,63,58.8,67.4,175,-2.8,-6.4,0.9
48041,estable,49,43.7,54.9,62,-3.2,-13,7.7
48043,desconocido,36.4,22.6,56.3,4,0,0,0
48045,desconocido,0,0,0,0,0,0,0
48047,desconocido,0,0,0,0,0,0,0
48049,estable,65.2,55.6,76.2,34,-8.3,-23.9,10.5
48051,estable,73.1,58.7,90.4,18,2.2,-12.2,19
48053,estable,65.3,56.7,75.1,43,-6,-19.1,9.2
48055,estable,65.1,54.2,77.5,26,-5.4,-24.7,18.8
48057,estable,70,56.3,86.1,18,-2.6,-24.4,25.5
48059,estable,80.4,63.6,101,16,-5.3,-14.3,4.7
48061,estable,38.4,35.7,41.4,143,-2,-7.8,4.1
48063,estable,74.8,56.8,96.9,12,12.5,-36.8,100.3
48065,estable,44.5,26.8,71.2,4,-0.3,-54.8,119.7
48067,estable,68.9,58.6,80.9,32,4.7,-16.1,30.6
48069,estable,50.7,32.1,76.6,5,20.9,-40.9,147.3
48071,estable,68.3,55.3,83.2,21,11.5,-19.5,54.5
48073,estable,83.3,73.3,94.3,51,-3.3,-12.5,7
48075,estable,72.5,48.4,105,6,-4.3,-36.4,44
48077,estable,68.8,51.3,91.4,11,-2,-38.6,56.3
48079,desconocido,0,0,0,0,0,0,0
48081,desconocido,52.5,29.5,92.7,3,0,0,0
48083,estable,70.7,52,95.1,10,2.4,-9.6,16
48085,estable,49.4,46.7,52.1,286,-6.5,-15.3,3.4
48087,desconocido,0,0,0,0,0,0,0
48089,estable,65.6,53.2,80.4,20,-5.8,-11.9,0.8
48091,estable,58.1,52.6,64.1,83,-2.4,-11.9,8.1
48093,estable,76.4,60.8,95.6,17,1.7,-17.9,26.1
48095,desconocido,0,0,0,0,0,0,0
48097,estable,62.1,52.7,72.9,32,-8,-18.7,4
48099,estable,81.2,70.2,93.3,41,-6,-21.9,13.1
48101,desconocido,0,0,0,0,0,0,0
48103,desconocido,0,0,0,0,0,0,0
48105,desconocido,0,0,0,0,0,0,0
48107,estable,57,35.9,87.1,5,10.4,-34.5,86.1
48109,desconocido,0,0,0,0,0,0,0
48111,estable,79.4,47.2,123.5,4,17.8,-29.8,97.6
48113,decendiente,56,54.5,57.6,1078,-4.3,-7.8,-0.7
48115,estable,59.2,42.9,79.8,9,-14.4,-42.5,27.5
48117,estable,55.1,40.7,72.9,10,7.2,-32.4,70.1
48119,estable,58.8,37.4,90.1,5,-9.7,-33.6,23
48121,estable,53.3,50.1,56.6,245,-5.2,-17,8.3
48123,estable,57.9,46.1,72.2,17,6.2,-15.2,33
48125,desconocido,0,0,0,0,0,0,0
48127,estable,32.2,19.3,50.8,4,0.3,-62,164.9
48129,estable,74,46.8,115.6,5,-4.4,-27.5,26
48131,estable,45.6,31.3,64.5,7,8.4,-15.9,39.7
48133,estable,71,57.8,86.9,21,1,-11.4,15.2
48135,estable,69.9,63.3,77,85,-2.2,-17,15.2
48137,desconocido,0,0,0,0,0,0,0
48139,estable,64.8,58.7,71.2,91,-5.1,-12.5,2.9
48141,estable,32.9,31,34.9,231,-1.7,-7.3,4.3
48143,estable,53.1,43.4,64.3,21,0.1,-33.5,50.5
48145,estable,61,47.4,77.6,14,4.9,-19.5,36.7
48147,estable,78.7,67.5,91.4,36,-4.1,-17.1,10.9
48149,estable,54.2,44.2,66.1,22,5.7,-15.8,32.7
48151,desconocido,46.7,26.7,80.3,3,0,0,0
48153,estable,61.1,39.7,90.9,5,-1.3,-33.5,46.4
48155,desconocido,0,0,0,0,0,0,0
48157,estable,43.1,40.2,46.1,188,-6.1,-13.8,2.3
48159,estable,78.4,59.7,102,12,1.6,-19.9,29
48161,estable,60.1,47.5,75.4,16,-4.7,-26.1,23
48163,estable,39.2,26.4,55.8,6,22.5,-2.2,53.5
48165,estable,46.8,32.1,65.6,7,-11.9,-32.4,14.8
48167,estable,63.2,59.1,67.4,192,-2,-7.2,3.4
48169,estable,61.3,36.2,97.1,4,26.3,-34.3,142.5
48171,estable,48.8,40.4,59,25,-12.7,-31.1,10.6
48173,desconocido,0,0,0,0,0,0,0
48175,estable,65.5,45,93.4,7,-26,-48.4,6.2
48177,estable,47.3,35.8,61.5,12,-16.1,-35,8.3
48179,estable,90.1,75,107.5,25,-3.2,-29.1,32
48181,estable,78,71.8,84.6,120,1.2,-3.6,6.2
48183,estable,71.9,65.6,78.7,97,0.9,-12.7,16.7
48185,estable,48.2,37.8,60.6,15,6.2,-6.4,20.4
48187,estable,58.6,53,64.8,80,0.8,-14,18
48189,estable,60,49.1,72.6,21,-3.3,-29.6,32.8
48191,estable,65.4,38.4,108.4,4,-5.8,-43.6,57.2
48193,estable,59.4,42.9,81.7,9,8.5,-14.2,37.3
48195,estable,61.3,36.8,96.4,4,-14.1,-41.3,25.6
48197,estable,76.1,45.5,120.9,4,-1.6,-38.5,57.6
48199,estable,66.4,57.6,76.2,42,-11.9,-28.7,8.9
48201,estable,56,54.8,57.2,1768,-1.8,-5.4,2
48203,estable,79.5,70.7,89.2,62,-4.2,-15.3,8.4
48205,desconocido,0,0,0,0,0,0,0
48207,desconocido,40.6,23.8,66.7,4,0,0,0
48209,estable,47.2,41.7,53.2,57,-9.4,-24,8.2
48211,desconocido,86.4,49.9,139,3,0,0,0
48213,estable,89.9,82.2,98.2,104,1.9,-8.4,13.4
48215,decendiente,32.7,30.7,34.8,200,-2.5,-4.2,-0.8
48217,estable,69.9,59.6,81.5,35,-2.1,-20.3,20.4
48219,estable,51.8,39.7,66.4,13,-8.3,-34.4,28
48221,estable,64.2,56.8,72.6,56,8,-0.3,17
48223,estable,66,55.6,77.9,29,3.5,-17.3,29.4
48225,estable,63.1,51.8,76.4,22,4.5,-27,49.7
48227,estable,73.3,61.6,86.6,28,-0.8,-10.3,9.8
48229,desconocido,0,0,0,0,0,0,0
48231,estable,80.2,72.5,88.5,82,0.2,-9.5,10.9
48233,estable,58.4,45.8,73.4,15,7.3,-20.4,44.5
48235,desconocido,0,0,0,0,0,0,0
48237,estable,68,47.7,94.5,7,-8.3,-32,23.7
48239,estable,57.5,43,75.7,11,15,-32.5,96.2
48241,estable,60.3,50.9,71.1,29,6.6,-12.6,30
48243,desconocido,0,0,0,0,0,0,0
48245,estable,65.7,61.4,70.2,178,0,-6.8,7.2
48247,desconocido,0,0,0,0,0,0,0
48249,estable,40.7,32.7,50.2,18,-1.8,-32.8,43.5
48251,estable,71.5,65.5,77.9,109,-3,-15.2,10.9
48253,estable,60.1,46.7,76.2,14,-6.6,-26,17.8
48255,estable,72,54.9,93,12,-4.3,-27.1,25.7
48257,estable,79.4,71.5,88,78,-2.4,-11.7,7.9
48259,estable,44,35.9,53.7,21,8.8,-29.3,67.6
48261,desconocido,0,0,0,0,0,0,0
48263,desconocido,0,0,0,0,0,0,0
48265,estable,53.9,47,61.7,49,-11.5,-28,8.9
48267,estable,58.6,36.3,93,5,-25.8,-56.8,27.2
48269,desconocido,0,0,0,0,0,0,0
48271,desconocido,0,0,0,0,0,0,0
48273,decendiente,53.1,42.1,66.1,16,-8.1,-15.5,-0.1
48275,estable,67.1,40.8,107.2,4,-2.7,-46.9,78.2
48277,estable,78.4,68.9,88.9,50,5.7,-5.1,17.6
48279,estable,41,28.7,57.2,7,2,-24.8,38.2
48281,creciente,74.1,59.9,90.9,19,14.7,0.9,30.4
48283,desconocido,0,0,0,0,0,0,0
48285,creciente,55.3,44.1,68.9,17,13.7,0.9,28.1
48287,estable,44,32.2,59.1,9,0,-15.9,18.8
48289,estable,67.1,54.1,83,19,11,-2.4,26.3
48291,estable,84.3,75.1,94.4,64,1.8,-11.3,16.8
48293,estable,81.8,67.7,98.1,24,-0.8,-14.6,15.4
48295,desconocido,0,0,0,0,0,0,0
48297,estable,49.4,35.7,67.5,9,7.4,-21,45.9
48299,estable,53.4,43.9,65.4,24,-10,-27.6,12
48301,desconocido,0,0,0,0,0,0,0
48303,estable,53.2,49.2,57.3,139,0.1,-10.9,12.5
48305,estable,47.9,28.3,77,4,-1.3,-47.3,84.8
48307,estable,56,38,80.4,7,-22.2,-40.6,1.8
48309,estable,66.1,61.6,70.9,164,-5.4,-16.5,7.2
48311,desconocido,0,0,0,0,0,0,0
48313,estable,53.7,38.4,73.3,8,-0.5,-28.4,38.3
48315,estable,88.8,69.9,112.6,16,-1.3,-45.3,78.2
48317,desconocido,0,0,0,0,0,0,0
48319,desconocido,0,0,0,0,0,0,0
48321,estable,67.8,57.4,79.6,31,-4.8,-15.8,7.6
48323,estable,36.7,29.2,45.5,17,1.9,-16,23.7
48325,estable,45.6,37.7,54.6,24,6.2,-4.2,17.7
48327,desconocido,0,0,0,0,0,0,0
48329,estable,54,48.4,60,71,1.2,-4.6,7.3
48331,estable,65.2,53.6,78.8,23,-6.6,-15,2.6
48333,estable,45,27.3,73.4,4,-23.1,-59,44
48335,estable,81.9,58.6,111.7,8,-7.8,-27,16.5
48337,estable,92.2,76.9,110.1,26,12,-1.7,27.8
48339,decendiente,61.3,57.9,64.8,271,-6.8,-11.4,-1.9
48341,estable,65.5,49.8,84.3,12,-12.1,-26,4.3
48343,estable,81.2,64.1,102.1,16,8.7,-7.5,27.7
48345,desconocido,0,0,0,0,0,0,0
48347,estable,74.5,65.2,84.8,47,0.3,-24.5,33.2
48349,estable,62.3,53.4,72.4,35,-1.4,-17.5,17.9
48351,estable,65.9,50.5,85.1,13,-7.4,-31.7,25.6
48353,estable,58.9,44.7,76.7,12,-10.2,-42.4,40.1
48355,estable,51.7,48.3,55.2,184,0.1,-5.5,6
48357,estable,60.4,39.6,88,5,-16.5,-53.7,50.8
48359,desconocido,0,0,0,0,0,0,0
48361,decendiente,82.7,74.7,91.3,80,-9.6,-17.7,-0.6
48363,estable,80.8,68.3,95.2,30,-3.5,-31.6,36.1
48365,estable,70.7,57.7,86,21,6.1,-4.6,18
48367,estable,70.9,64.4,77.9,92,-3.7,-11.5,4.8
48369,desconocido,42,25.9,64.3,4,0,0,0
48371,decendiente,40.7,27.7,57.8,6,-16.5,-21.5,-11.2
48373,estable,99.4,88.8,111.1,67,-2.3,-8,3.8
48375,estable,73.3,66.4,80.8,83,-2.4,-10,5.9
48377,desconocido,0,0,0,0,0,0,0
48379,estable,87.5,68.4,111.1,15,1.7,-22.1,32.6
48381,estable,52.8,47.3,58.7,68,-5.2,-14.9,5.5
48383,desconocido,0,0,0,0,0,0,0
48385,desconocido,49.4,28.5,87.4,3,0,0,0
48387,estable,67,51.9,85.9,14,4.9,-17.8,34
48389,estable,35.8,22.9,53.3,5,5.2,-30.2,58.5
48391,estable,79.8,57.8,108.8,9,-3.8,-35.8,44.3
48393,desconocido,0,0,0,0,0,0,0
48395,estable,58.2,44.9,74.6,13,17.4,-12.6,57.6
48397,estable,49.2,41.9,57.5,34,-4.5,-10.2,1.6
48399,estable,61.1,45,81.9,10,-8.8,-26.6,13.3
48401,estable,69.8,60.7,79.9,43,-6.4,-17.8,6.6
48403,estable,71.3,56,91.2,16,7.8,-19.4,44.1
48405,estable,73.8,55.2,98,11,-5.4,-29.8,27.4
48407,estable,93,79.1,108.8,34,-7,-25.3,15.8
48409,estable,73.5,64.7,83.3,51,-1.6,-16.8,16.4
48411,estable,60.9,40.3,90.2,6,-8.3,-41.7,44.2
48413,desconocido,0,0,0,0,0,0,0
48415,estable,76.8,59.9,97,14,12,-3.2,29.4
48417,desconocido,0,0,0,0,0,0,0
48419,estable,73.4,60.5,88.5,23,6.2,-3.5,16.9
48421,desconocido,0,0,0,0,0,0,0
48423,estable,67.3,62.8,72.1,166,-1.8,-6.2,2.9
48425,estable,62,42.2,88.4,6,4.9,-15.6,30.3
48427,estable,38.5,31.3,46.9,20,-11.9,-24.3,2.5
48429,estable,83.7,63.1,109.6,11,-1.4,-20.5,22.3
48431,desconocido,0,0,0,0,0,0,0
48433,desconocido,0,0,0,0,0,0,0
48435,desconocido,0,0,0,0,0,0,0
48437,estable,49.7,32.3,74,5,12.6,-36.2,98.5
48439,decendiente,60.2,58.4,62,903,-2.8,-4.2,-1.3
48441,estable,60.3,54.6,66.3,85,0.1,-11.3,13
48443,desconocido,0,0,0,0,0,0,0
48445,estable,70.7,52.5,93.4,10,-11.2,-40.9,33.4
48447,desconocido,0,0,0,0,0,0,0
48449,estable,49.2,38.7,61.6,15,2.5,-23.6,37.7
48451,estable,54.1,48.4,60.3,67,-6.6,-24.7,15.8
48453,estable,44.8,42.6,47.2,330,-5.5,-10.8,0.1
48455,estable,90.7,74.7,109.9,23,3,-10.3,18.2
48457,estable,72.8,60,88,23,5.9,-5.6,18.9
48459,estable,75.5,65.2,87.2,39,-1.8,-20.6,21.5
48461,desconocido,0,0,0,0,0,0,0
48463,estable,38.1,29,49.4,12,1.4,-30.5,47.9
48465,estable,35.4,28.3,43.7,17,-5.6,-28.7,24.8
48467,estable,68.7,60.6,77.8,52,3.5,-4.4,12
48469,estable,57.6,51,64.9,56,-0.2,-19.1,23.1
48471,estable,68.5,59.4,78.5,43,2.5,-9.4,15.9
48473,estable,53.7,43.6,65.3,21,-9,-18.9,2.2
48475,estable,69.8,50.7,94.2,9,-7.9,-28.2,18
48477,estable,44.7,36.7,54.2,22,-11.5,-25.3,5
48479,estable,30.3,26.6,34.2,51,-4.7,-17.1,9.6
48481,estable,49.7,41.2,59.5,25,-0.2,-12.3,13.5
48483,estable,54,33.1,84.6,4,-1.6,-38.5,57.4
48485,estable,74.9,68.6,81.6,106,2.6,-6,12
48487,estable,62.3,46.7,82,11,-8.2,-47.4,60
