FIPS,clase,incidencia_edad,confianza_inferior,confianza_superior,recuento_anual,tendencia_reciente_incidencia,intervalo_inferior,intervalo_superior
37197,estable,82.2,71.4,94.4,42,7,-11.4,29.2
37199,estable,86.3,71.5,103.9,25,16.6,-29,91.4
38001,desconocido,0,0,0,0,0,0,0
38003,decendiente,64.5,47.8,85.8,10,-10.1,-18.1,-1.4
38005,estable,59.4,35.8,92.7,4,0.6,-19.5,25.6
38007,desconocido,0,0,0,0,0,0,0
38009,desconocido,58.3,39.5,85,6,0,0,0
38011,estable,81.7,50.1,129.9,4,18.9,-6.1,50.5
38013,desconocido,0,0,0,0,0,0,0
38015,estable,52.2,45.7,59.3,49,9.7,-0.5,21
38017,creciente,59.8,54,66.2,80,3.2,0.7,5.7
38019,estable,50.3,30.1,84.6,4,13.5,-50.1,158
38021,creciente,49.6,29.9,79.6,4,22.3,4,43.7
38023,desconocido,0,0,0,0,0,0,0
38025,desconocido,0,0,0,0,0,0,0
38027,desconocido,0,0,0,0,0,0,0
38029,desconocido,43.3,24.9,79.2,3,0,0,0
38031,desconocido,0,0,0,0,0,0,0
38033,desconocido,0,0,0,0,0,0,0
38035,estable,59.7,51,69.3,36,-4.2,-13.9,6.6
38037,desconocido,0,0,0,0,0,0,0
38039,desconocido,0,0,0,0,0,0,0
38041,desconocido,0,0,0,0,0,0,0
38043,desconocido,0,0,0,0,0,0,0
38045,desconocido,0,0,0,0,0,0,0
38047,desconocido,0,0,0,0,0,0,0
38049,estable,63.6,42,94.5,6,-1.2,-19.9,21.7
38051,desconocido,0,0,0,0,0,0,0
38053,desconocido,43.5,24.9,70.7,3,0,0,0
38055,estable,53.4,38.3,74.2,8,13.3,-17.1,54.9
38057,estable,50.6,33.3,74.5,6,9.4,-31.8,75.4
38059,estable,68.7,56.8,82.6,24,-1.3,-24.5,29
38061,estable,70.9,47.4,101.9,6,-12.1,-50.3,55.4
38063,estable,71.9,44.1,117.9,4,-2.2,-40.9,61.9
38065,desconocido,0,0,0,0,0,0,0
38067,estable,65.2,45.1,92.7,8,10,-28.7,69.9
38069,desconocido,41,22.6,71.9,3,0,0,0
38071,estable,73.7,55.7,96.3,11,-8.3,-39.8,39.8
38073,estable,67.9,44.7,100.8,6,0.5,-37,60.4
38075,desconocido,0,0,0,0,0,0,0
38077,estable,45.2,32.7,61.1,9,-12.5,-31.2,11.1
38079,estable,76.5,56.4,101.4,10,7.9,-41.2,98
38081,decendiente,100,66.2,147.9,6,-29.1,-46.6,-6
38083,desconocido,0,0,0,0,0,0,0
38085,desconocido,0,0,0,0,0,0,0
38087,desconocido,0,0,0,0,0,0,0
38089,estable,42.7,32.8,54.8,13,7.3,-33,71.8
38091,desconocido,0,0,0,0,0,0,0
38093,estable,56.5,44.9,70.5,17,-5.5,-32.3,31.8
38095,desconocido,0,0,0,0,0,0,0
38097,creciente,62,42.4,88.3,7,27.9,10.9,47.5
38099,estable,56.7,41.6,76.4,10,21.1,-14.9,72.3
38101,estable,64.6,55.9,74.2,41,4.2,-7.4,17.3
38103,estable,40.6,24,70.4,4,2.5,-31.7,53.8
38105,estable,53.9,41.8,68.4,14,3.2,-17.5,29
39001,estable,87.1,74,102.2,32,-8.7,-21.7,6.4
39003,estable,70.4,63.9,77.3,90,-3.1,-11.7,6.4
39005,estable,61.2,52.9,70.4,41,-1.5,-10.5,8.5
39007,estable,79.2,72.4,86.5,103,-2.6,-15.3,11.9
39009,decendiente,76.6,66.5,87.9,43,-5.8,-10.4,-1
39011,estable,68.1,58.9,78.5,40,-4.5,-16.7,9.5
39013,estable,61.3,54.4,68.8,60,-8.4,-23.7,10
39015,estable,106.2,94.1,119.4,58,-5.4,-14.7,4.9
39017,estable,75,71.1,79.1,285,1.2,-1.9,4.4
39019,estable,79.7,67.3,93.9,31,-5.8,-22.2,14.2
39021,estable,64,54.1,75.2,31,3.5,-13.4,23.6
39023,estable,76.8,71.1,82.8,139,-7.2,-16,2.5
39025,decendiente,85.3,79.7,91.2,181,-5.7,-7.8,-3.6
39027,estable,86.6,75.2,99.4,42,-5.2,-20.9,13.6
39029,estable,68.6,62.7,75,101,-0.4,-13.1,14.2
39031,estable,74,63.4,85.9,36,-11.1,-26.6,7.6
39033,estable,66.6,57.7,76.7,41,4.4,-16.3,30.4
39035,decendiente,68.7,66.9,70.5,1108,-3.5,-5.9,-1.1
39037,estable,65.9,57.6,75.3,46,4.2,-8.2,18.3
39039,estable,67.3,57.2,78.9,32,-5.2,-20.4,12.9
39041,estable,61,55.4,67,94,-7,-14.4,1.1
39043,estable,65,58.3,72.4,71,-0.4,-14.8,16.4
39045,decendiente,73.6,67.6,79.9,117,-5.8,-8.4,-3
39047,estable,87.4,74.1,102.5,32,-1.7,-22.8,25.3
39049,estable,70.3,67.9,72.6,736,-3.2,-7.6,1.4
39051,decendiente,48.4,40.2,57.9,25,-15,-27.5,-0.4
39053,estable,88.7,76,103.2,35,-8.4,-19.2,3.7
39055,estable,51.4,45.8,57.6,63,-8.4,-19.3,3.8
39057,estable,60.9,55.9,66.3,113,-4.2,-12.8,5.2
39059,estable,82.2,71.5,94.2,43,-4.9,-14.2,5.5
39061,estable,75.1,72.5,77.7,673,-1.7,-6.1,3
39063,estable,57.9,51,65.5,52,-0.5,-19.6,23.1
39065,estable,72.9,60.7,86.8,26,0,-18.4,22.5
39067,estable,72.7,57.9,90.7,17,2.8,-25.1,41.1
39069,estable,55.3,44.9,67.6,20,-7.7,-23.6,11.7
39071,estable,75.8,65.7,87,41,-6.8,-22.3,11.7
39073,estable,75.9,63.8,89.9,28,4.5,-10,21.4
39075,estable,40,31.6,49.8,16,-5.5,-19.6,11.1
39077,estable,78.2,69,88.3,54,-4.1,-12.2,4.8
39079,estable,82.3,70,96.3,33,-0.6,-11.8,12.1
39081,estable,78.6,70.8,87,78,1.5,-18.3,26.1
39083,estable,69.8,61.4,79.2,51,0.2,-14.8,17.9
39085,estable,73,68.7,77.5,222,-6.3,-13.2,1.1
39087,estable,83.4,74.5,93.1,66,0.8,-20.4,27.7
39089,decendiente,78.5,72.9,84.5,149,-9.6,-15.9,-2.8
39091,estable,70.7,61.2,81.4,40,-5.7,-17,7.2
39093,estable,71,67.1,75.1,259,-1.2,-2.9,0.6
39095,estable,61.9,58.8,65.1,306,0.8,-12.7,16.5
39097,estable,74.8,64.1,86.8,36,-5,-18.3,10.4
39099,estable,69.4,65.3,73.6,232,-2.5,-8.6,4
39101,decendiente,82.9,74.1,92.5,67,-8.7,-16.5,-0.1
39103,estable,62.1,57.2,67.4,123,2.1,-5.5,10.3
39105,estable,71.8,58.9,86.9,22,8.1,-12.2,33.2
39107,estable,52.9,44.3,62.7,28,8.6,-14.1,37.3
39109,decendiente,73.7,67.1,80.7,95,-6.1,-11.4,-0.4
39111,estable,60.3,46.3,77.8,13,-17.1,-35.3,6.3
39113,estable,76.4,73.4,79.5,507,-1,-3.8,1.8
39115,estable,80.5,64.4,100,18,-6.9,-14.7,1.6
39117,estable,80.1,68.4,93.4,34,5,-2.7,13.4
39119,estable,80.6,73.1,88.7,87,5.4,-17.4,34.6
39121,estable,48.6,36.3,64.4,12,22.2,-21.4,90
